      Step     Time          Energy          fmax
BFGS:    0 17:28:03     -103.085612        1.767132
BFGS:    1 19:06:15     -103.117425        0.514494
BFGS:    2 21:25:26     -103.123762        0.417625
BFGS:    3 23:21:17     -103.181462        0.763773
BFGS:    4 00:51:54     -103.231511        0.830538
BFGS:    5 02:23:46     -103.237479        1.137969
BFGS:    6 03:34:00     -103.281010        0.714996
BFGS:    7 05:16:06     -103.327700        0.598489
BFGS:    8 06:50:20     -103.391432        0.539454
BFGS:    9 08:22:36     -103.417844        0.572210
BFGS:   10 10:19:33     -103.443926        0.854031
BFGS:   11 11:51:17     -103.472099        1.076045
BFGS:   12 14:09:24     -103.572593        1.587827
BFGS:   13 16:11:14     -103.661879        1.902446
BFGS:   14 17:57:03     -103.825594        1.916972
BFGS:   15 20:38:01     -104.094955        1.839548
BFGS:   16 22:16:50     -104.315088        1.716760
BFGS:   17 23:54:45     -104.468948        1.391443
BFGS:   18 01:21:30     -104.614305        1.316598
BFGS:   19 03:05:53     -104.733701        0.856168
BFGS:   20 04:38:34     -104.808842        1.006004
BFGS:   21 06:15:37     -104.913013        0.598116
BFGS:   22 08:09:45     -105.031492        0.563583
BFGS:   23 09:29:55     -105.070428        0.534828
BFGS:   24 11:30:52     -105.118266        0.605136
BFGS:   25 13:46:27     -105.149613        0.888610
BFGS:   26 15:31:38     -105.168505        0.200340
BFGS:   27 16:43:30     -105.173116        0.167095
BFGS:   28 18:13:34     -105.180250        0.207052
BFGS:   29 19:11:19     -105.182691        0.159100
BFGS:   30 20:59:34     -105.172196        0.395906
BFGS:   31 22:51:11     -105.185257        0.087685
